Title,Articles,coreference_list_ready,coreference_paragraph_clean,triplets_paragraph_orig,triplets_paragraph_clean
"TITLE XII 
OTHER BUDGET IMPLEMENTATION INSTRUMENTS ",Article 235  Implementation of Union trust funds for external actions ,"union trust funds shall be implemented in accordance with the principles of sound financial management, trans­parency, proportionality, non-discrimination and equal treatment, and in accordance with the specific objectives defined in each constitutive agreement and in full respect of the rights of scrutiny and control of the union contribution of the european parliament and of the council.",union trust funds shall be implemented in accordance with the principles of sound financial management trans­parency proportionality nondiscrimination and equal treatment and in accordance with the specific objectives defined in each constitutive agreement and in full respect of the rights of scrutiny and control of the union contribution of the european parliament and of the council.,"[['union', 'legislative body', 'european parliament'], ['union', 'legislative body', 'european parliament']]","[['union', 'legislative body', 'european parliament'], ['union', 'legislative body', 'european parliament']]"
"TITLE XII 
OTHER BUDGET IMPLEMENTATION INSTRUMENTS ",Article 235  Implementation of Union trust funds for external actions ,"actions financed under union trust funds may be implemented directly by the commission pursuant to point (a) of the first subparagraph of article 62(1) and indirectly with the entities implementing union funds pursuant to points (c)(i), (ii), (iii), (v), and (vi) of the first subparagraph of article 62(1).",actions financed under union trust funds may be implemented directly by the commission pursuant to point of the first subparagraph of article 62(1) and indirectly with the entities implementing union funds pursuant to points(i) (ii) (iii) and (vi) of the first subparagraph of article 62(1).,"[['the commission', 'instance of', 'commission']]",
"TITLE XII 
OTHER BUDGET IMPLEMENTATION INSTRUMENTS ",Article 235  Implementation of Union trust funds for external actions ,"funds shall be committed and paid by financial actors of the commission, within the meaning of chapter 4 of title iv. the accounting officer of the commission shall serve as the accounting officer of the union trust funds. the accounting officer of the commission or the accounting officer of the commission shall be responsible for laying down accounting procedures and chart of accounts common to all union trust funds. the commission internal auditor, olaf and the court of auditors shall exercise the same powers over union trust funds as the commission’s internal auditor, olaf and the court of auditors do in respect of other actions carried out by the commission.",funds shall be committed and paid by financial actors of the commission within the meaning of chapter 4 of title iv. the accounting officer of the commission shall serve as the accounting officer of the union trust funds. the accounting officer of the commission or the accounting officer of the commission shall be responsible for laying down accounting procedures and chart of accounts common to all union trust funds. the commission internal auditor olaf and the court of auditors shall exercise the same powers over union trust funds as the commissions internal auditor olaf and the court of auditors do in respect of other actions carried out by the commission.,"[['commission', 'external auditor', 'olaf'], ['commission', 'external auditor', 'olaf'], ['the commission’s', 'external auditor', 'olaf'], ['commission', 'external auditor', 'olaf'], ['the commission', 'external auditor', 'olaf']]",
"TITLE XII 
OTHER BUDGET IMPLEMENTATION INSTRUMENTS ",Article 235  Implementation of Union trust funds for external actions ,"the contributions of the union and of other donors shall not be integrated in the budget and shall be lodged in a specific bank account. a specific bank account shall be opened and closed by the accounting officer of the commission. all transactions made on a specific bank account during the year shall be properly accounted for in the accounts of the union trust fund. union contributions shall be transferred to a specific bank account on the basis of payment requests that are duly substantiated with disbursement forecasts, taking into account the balance available on a specific bank account and the resulting need for additional payments. disbursement forecasts shall be provided on an annual, or where appropriate on a semi-annual, basis. the contributions of other donors shall be taken into account when cashed in a specific bank account the union trust fund and for the amount in euro resulting from the conversion at the contributions of other donors reception on a specific bank account. interests accumulated on a specific bank account the union trust fund shall be invested in the union trust fund except where otherwise provided in the constitutive agreement of the union trust fund.",the contributions of the union and of other donors shall not be integrated in the budget and shall be lodged in a specific bank account. a specific bank account shall be opened and closed by the accounting officer of the commission. all transactions made on a specific bank account during the year shall be properly accounted for in the accounts of the union trust fund. union contributions shall be transferred to a specific bank account on the basis of payment requests that are duly substantiated with disbursement forecasts taking into account the balance available on a specific bank account and the resulting need for additional payments. disbursement forecasts shall be provided on an annual or where appropriate on a semiannual basis. the contributions of other donors shall be taken into account when cashed in a specific bank account the union trust fund and for the amount in euro resulting from the conversion at the contributions of other donors reception on a specific bank account. interests accumulated on a specific bank account the union trust fund shall be invested in the union trust fund except where otherwise provided in the constitutive agreement of the union trust fund.,,"[['union', 'currency', 'euro']]"
"TITLE XII 
OTHER BUDGET IMPLEMENTATION INSTRUMENTS ",Article 235  Implementation of Union trust funds for external actions ,"the commission shall be authorised to use a maximum of 5 % of the amounts pooled into the union trust fund to cover the commission management costs from the years in which the contributions referred to in paragraph 4 have started to be used. notwithstanding the first sentence and in order to avoid the double charging of costs, management costs arising from the union contribution to the union trust fund shall only be covered by that contribution to the extent that those costs have not already been covered by other budget lines. for the duration of the union trust fund, such management fees shall be assimilated to assigned revenue within the meaning of point (a)(ii) of article 21(2). l 193/144   in addition to the annual report referred to in article 252, financial reporting on the operations carried out by each union trust fund shall be established twice every year by the authorising officer. the commission shall also report monthly on the state of implementation of each union trust fund. the union trust funds shall be subject to an independent external audit every year.",the commission shall be authorised to use a maximum of 5  of the amounts pooled into the union trust fund to cover the commission management costs from the years in which the contributions referred to in paragraph 4 have started to be used. notwithstanding the first sentence and in order to avoid the double charging of costs management costs arising from the union contribution to the union trust fund shall only be covered by that contribution to the extent that those costs have not already been covered by other budget lines. for the duration of the union trust fund such management fees shall be assimilated to assigned revenue within the meaning of point(ii) of article 21(2). l 193144 in addition to the annual report referred to in article 252 financial reporting on the operations carried out by each union trust fund shall be established twice every year by the authorising officer. the commission shall also report monthly on the state of implementation of each union trust fund. the union trust funds shall be subject to an independent external audit every year.,,"[['l 193144', 'foundational text', 'assigned']]"
"TITLE XII 
OTHER BUDGET IMPLEMENTATION INSTRUMENTS ",Article 236  Use of budget support ,"where provided for in the relevant basic acts, the commission may provide budget support to a third country where the following conditions are met: (a) the third country’s management of public finances is sufficiently transparent, reliable and effective; (b) the third country has put in place sufficiently credible and relevant sectoral or national policies; (c) the third country has put in place stability-oriented macroeconomic policies; (d) the third country has put in place sufficient and timely access to comprehensive and sound budgetary information.",where provided for in the relevant basic acts the commission may provide budget support to a third country where the following conditions are met: the third countrys management of public finances is sufficiently transparent reliable and effective the third country has put in place sufficiently credible and relevant sectoral or national policies the third country has put in place stabilityoriented macroeconomic policies the third country has put in place sufficient and timely access to comprehensive and sound budgetary information.,"[['the commission', 'executive body', 'commission']]","[['public finances', 'facet of', 'macroeconomic']]"
"TITLE XII 
OTHER BUDGET IMPLEMENTATION INSTRUMENTS ",Article 236  Use of budget support ,"the payment of the union contribution shall be based on the fulfilment of the conditions referred to in paragraph 1, including the improvement of the management of public finances. in addition, some payments may also be conditional on the achievement of milestones, measured by objective performance indicators, reflecting results and reform progress over time in the respective sector.",the payment of the union contribution shall be based on the fulfilment of the conditions referred to in paragraph 1 including the improvement of the management of public finances. in addition some payments may also be conditional on the achievement of milestones measured by objective performance indicators reflecting results and reform progress over time in the respective sector.,,
"TITLE XII 
OTHER BUDGET IMPLEMENTATION INSTRUMENTS ",Article 236  Use of budget support ,"in third countries, the commission shall support the respect for the rule of law, the development of parliamentary control and audit and anti-corruption capacities and the increase of transparency and public access to information.",in third countries the commission shall support the respect for the rule of law the development of parliamentary control and audit and anticorruption capacities and the increase of transparency and public access to information.,,
"TITLE XII 
OTHER BUDGET IMPLEMENTATION INSTRUMENTS ",Article 236  Use of budget support ,"the corresponding financing agreements concluded with the third country shall contain: (a) an obligation for the third country to provide the commission with reliable and timely information which allows the commission to evaluate the fulfilment of the conditions referred to in paragraph 2; (b) a right for the commission to suspend the financing agreement if the third country breaches an obligation relating to respect for human rights, democratic principles and the rule of law and in serious cases of corruption; (c) appropriate provisions pursuant to which the third country is to commit to immediately reimburse all or part of the relevant operation funding, in the event that the third country is established that the payment of the relevant union funds has been vitiated by serious irregularities attributable to the third country. in order to process the reimbursement referred to in point (c) of the first subparagraph of this paragraph, the second subparagraph of article 101(1) may be applied.",the corresponding financing agreements concluded with the third country shall contain: an obligation for the third country to provide the commission with reliable and timely information which allows the commission to evaluate the fulfilment of the conditions referred to in paragraph 2 a right for the commission to suspend the financing agreement if the third country breaches an obligation relating to respect for human rights democratic principles and the rule of law and in serious cases of corruption appropriate provisions pursuant to which the third country is to commit to immediately reimburse all or part of the relevant operation funding in the event that the third country is established that the payment of the relevant union funds has been vitiated by serious irregularities attributable to the third country. in order to process the reimbursement referred to in point of the first subparagraph of this paragraph the second subparagraph of article 101(1) may be applied.,"[['the commission', 'foundational text', 'commission'], ['the commission', 'foundational text', 'commission']]","[['commission', 'executive body', 'the commission'], ['the commission', 'foundational text', 'commission'], ['the commission', 'foundational text', 'commission']]"
"TITLE XII 
OTHER BUDGET IMPLEMENTATION INSTRUMENTS ",Article 237  Remunerated external experts ,"for values below the thresholds referred to in article 175(1) and on the basis of the procedure laid down in paragraph 3 of this article, union institutions may select remunerated external experts to assist remunerated external experts in the evaluation of grant applications, projects and tenders, and to provide opinions and advice in specific cases.",for values below the thresholds referred to in article 175(1) and on the basis of the procedure laid down in paragraph 3 of this article union institutions may select remunerated external experts to assist remunerated external experts in the evaluation of grant applications projects and tenders and to provide opinions and advice in specific cases.,,
"TITLE XII 
OTHER BUDGET IMPLEMENTATION INSTRUMENTS ",Article 237  Remunerated external experts ,"remunerated external experts shall be remunerated on the basis of a fixed amount announced in advance and shall be chosen on the basis of remunerated external experts professional capacity. the selection shall be done on the basis of selection criteria respecting the principles of non-discrimination, equal treatment and absence of conflict of interests.",remunerated external experts shall be remunerated on the basis of a fixed amount announced in advance and shall be chosen on the basis of remunerated external experts professional capacity. the selection shall be done on the basis of selection criteria respecting the principles of nondiscrimination equal treatment and absence of conflict of interests.,,
"TITLE XII 
OTHER BUDGET IMPLEMENTATION INSTRUMENTS ",Article 237  Remunerated external experts ,"a call for expression of interest shall be published on the website of the union institution concerned. the call for expression of interest shall include a description of the tasks, the tasks duration and the fixed conditions of remuneration. a list of experts shall be drawn up following the call for expression of interest. it shall be valid for no more than five years from it publication or for the duration of a multiannual programme related to the tasks.",a call for expression of interest shall be published on the website of the union institution concerned. the call for expression of interest shall include a description of the tasks the tasks duration and the fixed conditions of remuneration. a list of experts shall be drawn up following the call for expression of interest. it shall be valid for no more than five years from it publication or for the duration of a multiannual programme related to the tasks.,,
"TITLE XII 
OTHER BUDGET IMPLEMENTATION INSTRUMENTS ",Article 237  Remunerated external experts ,"any interested natural person may submit an application at any time during the period of validity of the call for expression of interest, with the exception of the last three months of that period.",any interested natural person may submit an application at any time during the period of validity of the call for expression of interest with the exception of the last three months of that period.,,
"TITLE XII 
OTHER BUDGET IMPLEMENTATION INSTRUMENTS ",Article 237  Remunerated external experts ,"experts paid from research and technological development appropriations shall be recruited in accordance with the procedures laid down by the european parliament and by the council when the european parliament and by the council adopt each research framework programme or in accordance with the corresponding rules for participation. for the purpose of section 2 of chapter 2 of title v, such experts shall be treated as recipients.",experts paid from research and technological development appropriations shall be recruited in accordance with the procedures laid down by the european parliament and by the council when the european parliament and by the council adopt each research framework programme or in accordance with the corresponding rules for participation. for the purpose of section 2 of chapter 2 of title v such experts shall be treated as recipients.,,
"TITLE XII 
OTHER BUDGET IMPLEMENTATION INSTRUMENTS ",Article 238  Non-remunerated experts ,"union institutions may reimburse travel and subsistence expenses incurred by, or where appropriate pay any other indemnities to, persons invited or mandated by persons.",union institutions may reimburse travel and subsistence expenses incurred by or where appropriate pay any other indemnities to persons invited or mandated by persons.,"[['union', 'instance of', 'persons']]","[['union', 'instance of', 'union'], ['persons', 'instance of', 'persons']]"
"TITLE XII 
OTHER BUDGET IMPLEMENTATION INSTRUMENTS ",Article 239  Membership fees and other payments of subscriptions ,the union may pay contributions as subscriptions to bodies of which it is a member or an observer.,the union may pay contributions as subscriptions to bodies of which it is a member or an observer.,,
"TITLE XII 
OTHER BUDGET IMPLEMENTATION INSTRUMENTS ",Article 240  Expenditure on the members and staff of Union institutions ,"unions institutions may pay expenditure on the members and staff of union institutions, including contributions to associations of current and former members of the european parliament, and contributions to the european schools.",unions institutions may pay expenditure on the members and staff of union institutions including contributions to associations of current and former members of the european parliament and contributions to the european schools.,"[['union', 'legislative body', 'european parliament']]","[['union', 'legislative body', 'european parliament']]"
"TITLE XIII 
ANNUAL ACCOUNTS AND OTHER FINANCIAL REPORTING ",Article 241  Structure of the accounts ,"the annual accounts of the union shall be prepared for each financial year which shall run from 1 january to 31 december. the annual accounts of the union shall comprise the following: (a) the consolidated financial statements, which present, in accordance with the accounting rules referred to in article 80, the consolidation of the financial information contained in the financial statements of union institutions, of union bodies referred to in article 70 and of other bodies meeting the accounting consolidation criteria; (b) the aggregated budget implementation reports which present the information contained in the budget implementation reports of union institutions.",the annual accounts of the union shall be prepared for each financial year which shall run from 1 january to 31 december. the annual accounts of the union shall comprise the following: the consolidated financial statements which present in accordance with the accounting rules referred to in article 80 the consolidation of the financial information contained in the financial statements of union institutions of union bodies referred to in article 70 and of other bodies meeting the accounting consolidation criteria the aggregated budget implementation reports which present the information contained in the budget implementation reports of union institutions.,,
"TITLE XIII 
ANNUAL ACCOUNTS AND OTHER FINANCIAL REPORTING ",Article 242  Supporting documents ,each entry in the accounts shall be based on appropriate supporting documents in accordance with article 75.,each entry in the accounts shall be based on appropriate supporting documents in accordance with article 75.,,
"TITLE XIII 
ANNUAL ACCOUNTS AND OTHER FINANCIAL REPORTING ",Article 243  Financial statements ,"the financial statements shall be presented in millions of euro and in accordance with the accounting rules referred to in article 80 and shall be comprised of: (a) the balance sheet which presents all assets and liabilities and the financial situation prevailing on 31 december of the preceding financial year; (b) the statement of financial performance, which presents the economic result for the preceding financial year; (c) the cash-flow statement showing amounts collected and disbursed during the preceding financial year and the final treasury position; (d) the statement of changes in net assets presenting an overview of the movements during the financial year in reserves and accumulated results. l 193/146",the financial statements shall be presented in millions of euro and in accordance with the accounting rules referred to in article 80 and shall be comprised of: the balance sheet which presents all assets and liabilities and the financial situation prevailing on 31 december of the preceding financial year the statement of financial performance which presents the economic result for the preceding financial year the cashflow statement showing amounts collected and disbursed during the preceding financial year and the final treasury position the statement of changes in net assets presenting an overview of the movements during the financial year in reserves and accumulated results. l 193146,"[['assets', 'facet of', 'balance sheet']]",
"TITLE XIII 
ANNUAL ACCOUNTS AND OTHER FINANCIAL REPORTING ",Article 243  Financial statements ,the notes to the financial statements shall supplement and comment on the information presented in the statements referred to in paragraph 1 and shall supply all the additional information prescribed by the accounting rules referred to in article 80 and the internationally accepted accounting practice where such information is relevant to the activities of the union. l 193/146,the notes to the financial statements shall supplement and comment on the information presented in the statements referred to in paragraph 1 and shall supply all the additional information prescribed by the accounting rules referred to in article 80 and the internationally accepted accounting practice where such information is relevant to the activities of the union. l 193146,"[['the union', 'part of', 'union']]",
"TITLE XIII 
ANNUAL ACCOUNTS AND OTHER FINANCIAL REPORTING ",Article 243  Financial statements ,"the notes to the financial statements shall contain at least the following information: (a) accounting principles, rules and methods; (b) explanatory notes supplying additional information not contained in the body of the financial statements, which is necessary for a fair presentation of the accounts.",the notes to the financial statements shall contain at least the following information: accounting principles rules and methods explanatory notes supplying additional information not contained in the body of the financial statements which is necessary for a fair presentation of the accounts.,,
"TITLE XIII 
ANNUAL ACCOUNTS AND OTHER FINANCIAL REPORTING ",Article 243  Financial statements ,"the accounting officer shall, after the close of the preceding financial year and up to the date of transmission of the general accounts, make any adjustments which, without involving disbursement or collection in respect of the preceding financial year, are necessary for a true and fair view of the general accounts. s e c t i o n 2 b u d g e t i m p l e m e n t a t i o n r e p o r t s",the accounting officer shall after the close of the preceding financial year and up to the date of transmission of the general accounts make any adjustments which without involving disbursement or collection in respect of the preceding financial year are necessary for a true and fair view of the general accounts. s e c t i o n 2 b u d g e t i m p l e m e n t a t i o n r e p o r t s,,
"TITLE XIII 
ANNUAL ACCOUNTS AND OTHER FINANCIAL REPORTING ",Article 244  Budget implementation reports ,"the budget implementation reports shall be presented in millions of euro and shall be comparable year by year. they shall consist of: (a) reports which aggregate all budgetary operations for the financial year in terms of revenue and expenditure; (b) the budget result, which is calculated on the basis of the annual budgetary balance referred to in decision 2014/335/eu, euratom; (c) explanatory notes, which shall supplement and comment on the information given in the reports.",the budget implementation reports shall be presented in millions of euro and shall be comparable year by year. they shall consist of: reports which aggregate all budgetary operations for the financial year in terms of revenue and expenditure the budget result which is calculated on the basis of the annual budgetary balance referred to in decision 2014335eu euratom explanatory notes which shall supplement and comment on the information given in the reports.,,"[['euratom', 'statement is subject of', 'decision 2014335eu']]"
"TITLE XIII 
ANNUAL ACCOUNTS AND OTHER FINANCIAL REPORTING ",Article 244  Budget implementation reports ,the structure of the budget implementation reports shall be the same as that of the budget itself.,the structure of the budget implementation reports shall be the same as that of the budget itself.,,
"TITLE XIII 
ANNUAL ACCOUNTS AND OTHER FINANCIAL REPORTING ",Article 244  Budget implementation reports ,"the budget implementation reports shall contain: (a) information on revenue, in particular changes in the revenue estimates, the revenue outturn and entitlements established; (b) information showing changes in the total commitment and payment appropriations available; (c) information showing the use made of the total commitment and payment appropriations available; (d) information showing commitments outstanding, those carried over from the preceding financial year and those made during the financial year.",the budget implementation reports shall contain: information on revenue in particular changes in the revenue estimates the revenue outturn and entitlements established information showing changes in the total commitment and payment appropriations available information showing the use made of the total commitment and payment appropriations available information showing commitments outstanding those carried over from the preceding financial year and those made during the financial year.,,
"TITLE XIII 
ANNUAL ACCOUNTS AND OTHER FINANCIAL REPORTING ",Article 244  Budget implementation reports ,"as regards information on revenue, a statement shall be attached to the budget implementation report showing, for each member state, the breakdown of amounts of own resources still to be recovered at the end of the financial year and covered by a recovery order. s e c t i o n 3 a n n u a l a c c o u n t s t i m e t a b l e",as regards information on revenue a statement shall be attached to the budget implementation report showing for each member state the breakdown of amounts of own resources still to be recovered at the end of the financial year and covered by a recovery order. s e c t i o n 3 a n n u a l a c c o u n t s t i m e t a b l e,,
"TITLE XIII 
ANNUAL ACCOUNTS AND OTHER FINANCIAL REPORTING ",Article 245  Provisional accounts ,"the accounting officers of the union institutions other than the commission and the bodies referred to in article 241 shall, by 1 march of the following financial year, send the accounting officers of the union institutions other than the commission and the bodies referred to in article 241 shall, by 1 march of the following financial year provisional accounts to the accounting officer of the commission and to the court of auditors.",the accounting officers of the union institutions other than the commission and the bodies referred to in article 241 shall by 1 march of the following financial year send the accounting officers of the union institutions other than the commission and the bodies referred to in article 241 shall by 1 march of the following financial year provisional accounts to the accounting officer of the commission and to the court of auditors.,"[['union', 'external auditor', 'commission'], ['union', 'external auditor', 'commission'], ['union', 'external auditor', 'commission'], ['union', 'external auditor', 'commission']]","[['union', 'external auditor', 'commission'], ['union', 'external auditor', 'commission'], ['union', 'external auditor', 'commission'], ['union', 'external auditor', 'commission'], ['union', 'external auditor', 'commission'], ['union', 'external auditor', 'commission']]"
"TITLE XIII 
ANNUAL ACCOUNTS AND OTHER FINANCIAL REPORTING ",Article 245  Provisional accounts ,"the accounting officers of the union institutions other than the commission and the bodies referred to in article 241 shall, by 1 march of the following financial yearthe union institutions the commission and the bodies referred to in article 241 the following financial year, send the required accounting information for consolidation purposes to the accounting officer of the commissionthe commission, in the manner and format laid down by the latter.",the accounting officers of the union institutions other than the commission and the bodies referred to in article 241 shall by 1 march of the following financial yearthe union institutions the commission and the bodies referred to in article 241 the following financial year send the required accounting information for consolidation purposes to the accounting officer of the commissionthe commission in the manner and format laid down by the latter.,"[['union', 'external auditor', 'commission'], ['union', 'external auditor', 'commission'], ['union', 'external auditor', 'commission']]","[['union', 'executive body', 'commission'], ['union', 'executive body', 'commission'], ['union', 'external auditor', 'commission'], ['union', 'external auditor', 'commission'], ['union', 'external auditor', 'commission'], ['union', 'external auditor', 'commission']]"
"TITLE XIII 
ANNUAL ACCOUNTS AND OTHER FINANCIAL REPORTING ",Article 245  Provisional accounts ,"the accounting officer of the commission the commission shall consolidate the provisional accounts referred to in paragraph 2 with the provisional accounts of the commission and shall, by 31 march of the following financial year, send the provisional accounts of the commission and the consolidated provisional accounts of the union to the court of auditors by electronic means.",the accounting officer of the commission the commission shall consolidate the provisional accounts referred to in paragraph 2 with the provisional accounts of the commission and shall by 31 march of the following financial year send the provisional accounts of the commission and the consolidated provisional accounts of the union to the court of auditors by electronic means.,"[['the union', 'external auditor', 'commission']]","[['the union', 'external auditor', 'commission']]"
"TITLE XIII 
ANNUAL ACCOUNTS AND OTHER FINANCIAL REPORTING ",Article 246  Approval of the final consolidated accounts ,"the court of auditors shall, by 1 june, make the court of auditors observations on the provisional accounts of the union institutions other than the commission, and of each of the bodies referred to in article 241, and, by 15 june, make the court of auditors observations on the provisional accounts of the commission and the consolidated provisional accounts of the union.",the court of auditors shall by 1 june make the court of auditors observations on the provisional accounts of the union institutions other than the commission and of each of the bodies referred to in article 241 and by 15 june make the court of auditors observations on the provisional accounts of the commission and the consolidated provisional accounts of the union.,"[['union', 'external auditor', 'commission'], ['the commission', 'external auditor', 'court of auditors'], ['the commission', 'external auditor', 'court of auditors'], ['commission', 'external auditor', 'court of auditors']]","[['union', 'external auditor', 'court of auditors'], ['union', 'external auditor', 'commission'], ['the union', 'external auditor', 'commission']]"
"TITLE XIII 
ANNUAL ACCOUNTS AND OTHER FINANCIAL REPORTING ",Article 246  Approval of the final consolidated accounts ,"the accounting officers of the union institutions other than the commission and of the bodies referred to in article 241 shall, by 15 june, send the required accounting information to the accounting officer of the commission, in the manner and format laid down by the latter, with a view to drawing up the final consolidated accounts. the union institutions other than the commission, and each of the bodies referred to in article 241, shall, by 1 july, send the union institutions other than the commission, and each of the bodies referred to in article 241 final accounts to the european parliament, to the council, to the court of auditors and to the accounting officer of the commission.",the accounting officers of the union institutions other than the commission and of the bodies referred to in article 241 shall by 15 june send the required accounting information to the accounting officer of the commission in the manner and format laid down by the latter with a view to drawing up the final consolidated accounts. the union institutions other than the commission and each of the bodies referred to in article 241 shall by 1 july send the union institutions other than the commission and each of the bodies referred to in article 241 final accounts to the european parliament to the council to the court of auditors and to the accounting officer of the commission.,"[['union', 'external auditor', 'commission'], ['union', 'external auditor', 'commission'], ['union', 'external auditor', 'commission'], ['union', 'executive body', 'the commission'], ['union', 'executive body', 'commission'], ['union', 'executive body', 'commission'], ['union', 'executive body', 'commission'], ['union', 'external auditor', 'commission'], ['union', 'legislative body', 'european parliament']]","[['union', 'external auditor', 'commission'], ['union', 'external auditor', 'commission'], ['union', 'authority', 'commission'], ['union', 'executive body', 'the commission'], ['union', 'executive body', 'commission'], ['union', 'executive body', 'commission'], ['union', 'executive body', 'commission'], ['union', 'external auditor', 'commission'], ['union', 'legislative body', 'european parliament'], ['union', 'authority', 'commission'], ['union', 'authority', 'commission'], ['union', 'executive body', 'the commission'], ['union', 'executive body', 'commission'], ['union', 'executive body', 'commission'], ['union', 'executive body', 'commission'], ['union', 'legislative body', 'european parliament']]"
"TITLE XIII 
ANNUAL ACCOUNTS AND OTHER FINANCIAL REPORTING ",Article 246  Approval of the final consolidated accounts ,"the accounting officer of each union institution and of each body referred to in article 241 shall send to the court of auditors, with a copy to the accounting officer of the commission, at the same date as the transmission of the accounting officer of the commission or her final accounts, a representation letter covering their final accounts. their final accounts shall be accompanied by a note drawn up by the accounting officer of the commission, in which the latter declares that their final accounts were prepared in accordance with this title and with the applicable accounting principles, rules and methods set out in the notes to the financial statements.",the accounting officer of each union institution and of each body referred to in article 241 shall send to the court of auditors with a copy to the accounting officer of the commission at the same date as the transmission of the accounting officer of the commission or her final accounts a representation letter covering their final accounts. their final accounts shall be accompanied by a note drawn up by the accounting officer of the commission in which the latter declares that their final accounts were prepared in accordance with this title and with the applicable accounting principles rules and methods set out in the notes to the financial statements.,"[['union', 'external auditor', 'court of auditors']]","[['union', 'external auditor', 'court of auditors']]"
"TITLE XIII 
ANNUAL ACCOUNTS AND OTHER FINANCIAL REPORTING ",Article 246  Approval of the final consolidated accounts ,"the accounting officer of the commission shall draw up the final consolidated accounts on the basis of the information presented pursuant to paragraph 2 of this article by the union institutions other than the commission, and by the bodies referred to in article 241. the final consolidated accounts shall be accompanied by a note drawn up by the accounting officer of the commission, in which the latter declares that the final consolidated accounts were prepared in accordance with this title and with the applicable accounting principles, rules and methods set out in the notes to the financial statements.",the accounting officer of the commission shall draw up the final consolidated accounts on the basis of the information presented pursuant to paragraph 2 of this article by the union institutions other than the commission and by the bodies referred to in article 241. the final consolidated accounts shall be accompanied by a note drawn up by the accounting officer of the commission in which the latter declares that the final consolidated accounts were prepared in accordance with this title and with the applicable accounting principles rules and methods set out in the notes to the financial statements.,"[['union', 'external auditor', 'commission'], ['union', 'external auditor', 'commission']]","[['union', 'external auditor', 'the commission']]"
"TITLE XIII 
ANNUAL ACCOUNTS AND OTHER FINANCIAL REPORTING ",Article 246  Approval of the final consolidated accounts ,"after approving the final consolidated accounts and the financial statements own final accounts, the commission shall, by 31 july, send approving the final consolidated accounts and its own final accounts by electronic means to the european parliament, to the council and to the court of auditors. by the same date, the accounting officer of the commission shall transmit a representation letter covering the final consolidated accounts to the court of auditors.",after approving the final consolidated accounts and the financial statements own final accounts the commission shall by 31 july send approving the final consolidated accounts and its own final accounts by electronic means to the european parliament to the council and to the court of auditors. by the same date the accounting officer of the commission shall transmit a representation letter covering the final consolidated accounts to the court of auditors.,"[['the council', 'executive body', 'commission']]",
"TITLE XIII 
ANNUAL ACCOUNTS AND OTHER FINANCIAL REPORTING ",Article 246  Approval of the final consolidated accounts ,the final consolidated accounts shall be published by 15 november in the official journal of the european union together with the statement of assurance given by the court of auditors in accordance with article 287 tfeu and article 106a of the euratom treaty. chapter 2 integrated financial and accountability reporting,the final consolidated accounts shall be published by 15 november in the official journal of the european union together with the statement of assurance given by the court of auditors in accordance with article 287 tfeu and article 106a of the euratom treaty. chapter 2 integrated financial and accountability reporting,,
"TITLE XIII 
ANNUAL ACCOUNTS AND OTHER FINANCIAL REPORTING ",Article 247  Integrated financial and accountability reporting ,"by 31 july of the following financial year the commission shall communicate to the european parliament and to the council an integrated set of financial and accountability reports which includes: (a) the final consolidated accounts as referred to in article 246; (b) the annual management and performance report providing for a clear and concise summary of the internal control and financial management achievements referred to in the annual activity reports of each authorising officer by delegation and including information on key governance arrangements in the commission as well as: (i) an estimation of the level of error in union expenditure based on a consistent methodology and an estimate of future corrections; (ii) information on the preventive and corrective actions covering the budget, which shall present the financial impact of the actions taken to protect the budget from expenditure in breach of law; (iii) information on the implementation of the commission anti-fraud strategy; (c) a long-term forecast of future inflows and outflows covering the next five years, based on the applicable multiannual financial frameworks and decision 2014/335/eu, euratom; l 193/148   (d) the annual internal audit report as referred to in article 118(4); (e) the evaluation on the union’s finances based on the results achieved, as referred to in article 318 tfeu, assessing in particular the progress towards the achievement of policy objectives taking into account the performance indicators referred to in article 33 of this regulation; (f) the report on the follow-up to the discharge as referred to in article 261(3).",by 31 july of the following financial year the commission shall communicate to the european parliament and to the council an integrated set of financial and accountability reports which includes: the final consolidated accounts as referred to in article 246 the annual management and performance report providing for a clear and concise summary of the internal control and financial management achievements referred to in the annual activity reports of each authorising officer by delegation and including information on key governance arrangements in the commission as well as: an estimation of the level of error in union expenditure based on a consistent methodology and an estimate of future corrections (ii) information on the preventive and corrective actions covering the budget which shall present the financial impact of the actions taken to protect the budget from expenditure in breach of law (iii) information on the implementation of the commission antifraud strategy a longterm forecast of future inflows and outflows covering the next five years based on the applicable multiannual financial frameworks and decision 2014335eu euratom l 193148 the annual internal audit report as referred to in article 118(4) the evaluation on the unions finances based on the results achieved as referred to in article 318 tfeu assessing in particular the progress towards the achievement of policy objectives taking into account the performance indicators referred to in article 33 of this regulation the report on the followup to the discharge as referred to in article 261(3).,"[['the commission', 'main regulatory text', 'article 246'], ['commission', 'instance of', 'governance'], ['commission', 'main regulatory text', 'article 246'], ['the union’s', 'external auditor', 'euratom'], ['the union’s', 'main regulatory text', 'article 318 tfeu'], ['the union’s', 'member of', 'euratom']]","[['the council', 'executive body', 'commission'], ['the commission', 'main regulatory text', 'article 246'], ['commission', 'main regulatory text', 'article 246'], ['unions', 'foundational text', 'article 318 tfeu'], ['unions', 'inflows', 'euratom'], ['unions', 'main regulatory text', 'article 318 tfeu']]"
