title,relation,tail,title,article
union,establish,where,"TITLE X FINANCIAL INSTRUMENTS, BUDGETARY GUARANTEES AND FINANCIAL ASSISTANCE",Article 220  Rules and implementation 
beneficiary country,engage,in any act of fraud or corruption or,"TITLE X FINANCIAL INSTRUMENTS, BUDGETARY GUARANTEES AND FINANCIAL ASSISTANCE",Article 220  Rules and implementation 
illegal activity detrimental financial interest union,ensure,that all costs incurred by the union that relate to a financial assistance shall be borne by the beneficiary country in relation to the management of the financial assistance the beneficiary country has engaged in any act of fraud or corruption or,"TITLE X FINANCIAL INSTRUMENTS, BUDGETARY GUARANTEES AND FINANCIAL ASSISTANCE",Article 220  Rules and implementation 
cost incur union relate financial assistance,bear,by the beneficiary country,"TITLE X FINANCIAL INSTRUMENTS, BUDGETARY GUARANTEES AND FINANCIAL ASSISTANCE",Article 220  Rules and implementation 
condition attach financial assistance,fulfil,the commission where,"TITLE X FINANCIAL INSTRUMENTS, BUDGETARY GUARANTEES AND FINANCIAL ASSISTANCE",Article 220  Rules and implementation 
fund raise disburse,use,for any other goal than to provide financial assistance to the beneficiary country,"TITLE X FINANCIAL INSTRUMENTS, BUDGETARY GUARANTEES AND FINANCIAL ASSISTANCE",Article 220  Rules and implementation 
accounting officer,set,the procedures for the safekeeping of the funds,"TITLE X FINANCIAL INSTRUMENTS, BUDGETARY GUARANTEES AND FINANCIAL ASSISTANCE",Article 220  Rules and implementation 
direct financial contribution budget award european political party define point 3 article 2 regulation eu euratom 11412014 european political party view european political party view contribution form european political awareness express political citizen union accordance regulation contribution form european political awareness express political citizen union accordance regulation,define,in point (3) of article 2 of regulation (eu euratom,TITLE XI CONTRIBUTIONS TO EUROPEAN POLITICAL PARTIES,Article 221  General provisions 
contribution,use,to reimburse only the percentage set out in article 17(4) of regulation (eu euratom),TITLE XI CONTRIBUTIONS TO EUROPEAN POLITICAL PARTIES,Article 222  Principles 
11412014 operating cost european political party,link,directly to objectives of those parties,TITLE XI CONTRIBUTIONS TO EUROPEAN POLITICAL PARTIES,Article 222  Principles 
11412014 operating cost european political party,specify,in article 17(5) of that regulation and article 21 of that regulation,TITLE XI CONTRIBUTIONS TO EUROPEAN POLITICAL PARTIES,Article 222  Principles 
contribution,use,to reimburse expenditure relating to contracts concluded by european political parties provided that there were no conflicts of interests,TITLE XI CONTRIBUTIONS TO EUROPEAN POLITICAL PARTIES,Article 222  Principles 
conflict interest,award,when,TITLE XI CONTRIBUTIONS TO EUROPEAN POLITICAL PARTIES,Article 222  Principles 
contribution,use,to directly or indirectly grant any personal advantage in cash or in kind to any individual member or member of staff of a european political party,TITLE XI CONTRIBUTIONS TO EUROPEAN POLITICAL PARTIES,Article 222  Principles 
contribution,use,to directly or indirectly finance activities of third parties in particular national political parties or political foundations at european or national level whether in the form of grants donations loans or any other similar agreements,TITLE XI CONTRIBUTIONS TO EUROPEAN POLITICAL PARTIES,Article 222  Principles 
entity,be,part of the administrative organisation of european political parties where,TITLE XI CONTRIBUTIONS TO EUROPEAN POLITICAL PARTIES,Article 222  Principles 
entity,set,in the statutes of the latter,TITLE XI CONTRIBUTIONS TO EUROPEAN POLITICAL PARTIES,Article 222  Principles 
contribution,use,for any of the purposes excluded by article 22 of regulation (eu euratom,TITLE XI CONTRIBUTIONS TO EUROPEAN POLITICAL PARTIES,Article 222  Principles 
contribution,be,subject to the principles of transparency and equal treatment in accordance with the criteria laid down in regulation (eu euratom,TITLE XI CONTRIBUTIONS TO EUROPEAN POLITICAL PARTIES,Article 222  Principles 
contribution,award,by the european parliament on an annual basis,TITLE XI CONTRIBUTIONS TO EUROPEAN POLITICAL PARTIES,Article 222  Principles 
contribution,publish,in accordance with article 38(1) to (4) of this regulation and with article 32(1) of regulation (eu euratom,TITLE XI CONTRIBUTIONS TO EUROPEAN POLITICAL PARTIES,Article 222  Principles 
european political party receive contribution,receive,other funding from the budget directly or indirectly,TITLE XI CONTRIBUTIONS TO EUROPEAN POLITICAL PARTIES,Article 222  Principles 
expenditure,finance,in no circumstances twice by the budget,TITLE XI CONTRIBUTIONS TO EUROPEAN POLITICAL PARTIES,Article 222  Principles 
contribution,be,without prejudice to the ability of the european political parties to build up reserves with amounts from the european political parties own resources in accordance with regulation (eu euratom,TITLE XI CONTRIBUTIONS TO EUROPEAN POLITICAL PARTIES,Article 222  Principles 
european political foundation define point 4 article 2 regulation eu euratom,realise,a surplus of income over expenditure at the end of a financial year in which a european political foundation as defined in point (4) of article 2 of regulation (eu euratom) received an operating grant the part of that surplus corresponding to up to 25  of the total income for that year,TITLE XI CONTRIBUTIONS TO EUROPEAN POLITICAL PARTIES,Article 222  Principles 
european political foundation define point 4 article 2 regulation eu euratom,receive,an operating grant in which,TITLE XI CONTRIBUTIONS TO EUROPEAN POLITICAL PARTIES,Article 222  Principles 
european political foundation define point 4 article 2 regulation eu euratom,correspond,to up to 25  of the total income for that year,TITLE XI CONTRIBUTIONS TO EUROPEAN POLITICAL PARTIES,Article 222  Principles 
european political foundation define point 4 article 2 regulation eu euratom,use,before the end of the first quarter of that,TITLE XI CONTRIBUTIONS TO EUROPEAN POLITICAL PARTIES,Article 222  Principles 
appropriation,set,aside for independent external audit bodies or experts,TITLE XI CONTRIBUTIONS TO EUROPEAN POLITICAL PARTIES,Article 223  Budgetary aspects 
contribution appropriation set aside independent external audit body expert,refer,to in article 23 of regulation (eu euratom,TITLE XI CONTRIBUTIONS TO EUROPEAN POLITICAL PARTIES,Article 223  Budgetary aspects 
contribution,award,through a call for contributions published each year at least on the website of the european parliament,TITLE XI CONTRIBUTIONS TO EUROPEAN POLITICAL PARTIES,Article 224  Call for contributions 
european political party,award,only one contribution per year,TITLE XI CONTRIBUTIONS TO EUROPEAN POLITICAL PARTIES,Article 224  Call for contributions 
european political party,receive,a contribution,TITLE XI CONTRIBUTIONS TO EUROPEAN POLITICAL PARTIES,Article 224  Call for contributions 
european political party,apply,only for funding on the terms and conditions laid down in the call for contributions,TITLE XI CONTRIBUTIONS TO EUROPEAN POLITICAL PARTIES,Article 224  Call for contributions 
contribution,determine,the conditions under which the applicant may receive a contribution in accordance with regulation (eu euratom) no 11412014 as well as the exclusion criteria,TITLE XI CONTRIBUTIONS TO EUROPEAN POLITICAL PARTIES,Article 224  Call for contributions 
applicant,receive,a contribution in accordance with regulation (eu euratom) under which,TITLE XI CONTRIBUTIONS TO EUROPEAN POLITICAL PARTIES,Article 224  Call for contributions 
contribution,determine,at least the nature of the expenditure that may be reimbursed by the contribution,TITLE XI CONTRIBUTIONS TO EUROPEAN POLITICAL PARTIES,Article 224  Call for contributions 
contribution,require,an estimated budget,TITLE XI CONTRIBUTIONS TO EUROPEAN POLITICAL PARTIES,Article 224  Call for contributions 
application contribution,submit,duly within the time limit in writing including where appro­priate in a secure electronic format,TITLE XI CONTRIBUTIONS TO EUROPEAN POLITICAL PARTIES,Article 225  Award procedure 
contribution,refer,to in article 142,TITLE XI CONTRIBUTIONS TO EUROPEAN POLITICAL PARTIES,Article 225  Award procedure 
applicant,require,to certify that applicants are not in one of the situations referred to in paragraph,TITLE XI CONTRIBUTIONS TO EUROPEAN POLITICAL PARTIES,Article 225  Award procedure 
applicant,be,in one of the situations referred to in paragraph,TITLE XI CONTRIBUTIONS TO EUROPEAN POLITICAL PARTIES,Article 225  Award procedure 
authorise officer responsible,assist,by a committee to evaluate the applications for contributions,TITLE XI CONTRIBUTIONS TO EUROPEAN POLITICAL PARTIES,Article 225  Award procedure 
authorise officer responsible,specify,the rules regarding the composition appointment and functioning of such committee and the rules to prevent any conflict of interests,TITLE XI CONTRIBUTIONS TO EUROPEAN POLITICAL PARTIES,Article 225  Award procedure 
application comply eligibility exclusion criterion,select,on the basis of the award criteria set out in article 19 of regulation (eu euratom,TITLE XI CONTRIBUTIONS TO EUROPEAN POLITICAL PARTIES,Article 225  Award procedure 
decision authorise officer responsible application shall state : subject overall contribution select applicant amount accept select applicant name applicant reject reason rejection,state,at least,TITLE XI CONTRIBUTIONS TO EUROPEAN POLITICAL PARTIES,Article 225  Award procedure 
authorise officer responsible,inform,applicants in writing of the decision on applicants applications,TITLE XI CONTRIBUTIONS TO EUROPEAN POLITICAL PARTIES,Article 225  Award procedure 
amount request,award,in part or,TITLE XI CONTRIBUTIONS TO EUROPEAN POLITICAL PARTIES,Article 225  Award procedure 
contribution,cover,by a written agreement,TITLE XI CONTRIBUTIONS TO EUROPEAN POLITICAL PARTIES,Article 225  Award procedure 
contribution,take,any of the following forms,TITLE XI CONTRIBUTIONS TO EUROPEAN POLITICAL PARTIES,Article 226  Form of contributions 
reimbursement percentage reimbursable expenditure,incur,reimbursement contributions may take any of the following forms: actually on the basis of unit costs flatrate financing a combination of the forms referred to in points to,TITLE XI CONTRIBUTIONS TO EUROPEAN POLITICAL PARTIES,Article 226  Form of contributions 
agreement,refer,to in article 225(8,TITLE XI CONTRIBUTIONS TO EUROPEAN POLITICAL PARTIES,Article 226  Form of contributions 
agreement,include,provisions that allow verifying that the conditions for the award of lump sums flatrate financing or unit costs have been complied with,TITLE XI CONTRIBUTIONS TO EUROPEAN POLITICAL PARTIES,Article 226  Form of contributions 
flatrate financing unit cost,comply,with,TITLE XI CONTRIBUTIONS TO EUROPEAN POLITICAL PARTIES,Article 226  Form of contributions 
contribution,pay,in full through one single prefinancing payment,TITLE XI CONTRIBUTIONS TO EUROPEAN POLITICAL PARTIES,Article 226  Form of contributions 
authorise officer responsible,decide,in duly justified cases otherwise,TITLE XI CONTRIBUTIONS TO EUROPEAN POLITICAL PARTIES,Article 226  Form of contributions 
authorise officer responsible,deem,it appropriate and proportionate on a casebycase basis and subject to a risk analysis,TITLE XI CONTRIBUTIONS TO EUROPEAN POLITICAL PARTIES,Article 227  Guarantees 
european political party,be,only when in the light of the risk analysis at imminent risk of being in one of the exclusion situations referred to in points and of article 136(1) of this regulation or,TITLE XI CONTRIBUTIONS TO EUROPEAN POLITICAL PARTIES,Article 227  Guarantees 
decision authority european political party european political foundation establish article 6 regulation eu euratom 11412014 authority,communicate,when to the european parliament and to the council in accordance with article 10(4) of that regulation,TITLE XI CONTRIBUTIONS TO EUROPEAN POLITICAL PARTIES,Article 227  Guarantees 
article 153,apply,mutatis mutandis to guarantees which may be required in the cases foreseen in the first paragraph of this article to prefinancing payments made to european political parties,TITLE XI CONTRIBUTIONS TO EUROPEAN POLITICAL PARTIES,Article 227  Guarantees 
contribution,spend,in accordance with article 222,TITLE XI CONTRIBUTIONS TO EUROPEAN POLITICAL PARTIES,Article 228  Use of contributions 
contribution financial year cover contribution year n,spend,on any reimbursable expenditure incurred by 31 december of year n1,TITLE XI CONTRIBUTIONS TO EUROPEAN POLITICAL PARTIES,Article 228  Use of contributions 
remain contribution spend,recover,in accordance with chapter 6 of title,TITLE XI CONTRIBUTIONS TO EUROPEAN POLITICAL PARTIES,Article 228  Use of contributions 
european political party,respect,the maximum cofinancing rate laid down in article 17(4) of regulation (eu euratom,TITLE XI CONTRIBUTIONS TO EUROPEAN POLITICAL PARTIES,Article 228  Use of contributions 
remain amount contribution previous year,use,to finance the part which european political parties are to provide from which european political parties own resources,TITLE XI CONTRIBUTIONS TO EUROPEAN POLITICAL PARTIES,Article 228  Use of contributions 
european political party,be,which european political parties are to provide from which european political parties own resources,TITLE XI CONTRIBUTIONS TO EUROPEAN POLITICAL PARTIES,Article 228  Use of contributions 
european political party,own,resources from which,TITLE XI CONTRIBUTIONS TO EUROPEAN POLITICAL PARTIES,Article 228  Use of contributions 
contribution party joint event,consider,to be part of the own resources of a european political party,TITLE XI CONTRIBUTIONS TO EUROPEAN POLITICAL PARTIES,Article 228  Use of contributions 
european political party,use,the part of the contribution that has not been used within the financial year covered by that contribution before using contributions awarded after that year,TITLE XI CONTRIBUTIONS TO EUROPEAN POLITICAL PARTIES,Article 228  Use of contributions 
interest yield prefinance payment,consider,as part of the contribution,TITLE XI CONTRIBUTIONS TO EUROPEAN POLITICAL PARTIES,Article 228  Use of contributions 
european political party,shall,in accordance with article 23 of regulation (eu euratom,TITLE XI CONTRIBUTIONS TO EUROPEAN POLITICAL PARTIES,Article 229  Report on the use of the contributions 
annual report,refer,to in article 74(9,TITLE XI CONTRIBUTIONS TO EUROPEAN POLITICAL PARTIES,Article 229  Report on the use of the contributions 
annual report,draft,by the authorising officer responsible on the basis of the annual report and the annual financial statements referred to in paragraph 1 of article 74(9,TITLE XI CONTRIBUTIONS TO EUROPEAN POLITICAL PARTIES,Article 229  Report on the use of the contributions 
support document,use,for the purposes of drafting the annual report,TITLE XI CONTRIBUTIONS TO EUROPEAN POLITICAL PARTIES,Article 229  Report on the use of the contributions 
contribution,become,final,TITLE XI CONTRIBUTIONS TO EUROPEAN POLITICAL PARTIES,Article 230  Amount of the contribution 
annual report annual financial statement refer article 229(1,approve,by the authorising officer,TITLE XI CONTRIBUTIONS TO EUROPEAN POLITICAL PARTIES,Article 230  Amount of the contribution 
annual financial statement,be,without prejudice to subsequent checks by the authority,TITLE XI CONTRIBUTIONS TO EUROPEAN POLITICAL PARTIES,Article 230  Amount of the contribution 
unspent prefinance,become,final,TITLE XI CONTRIBUTIONS TO EUROPEAN POLITICAL PARTIES,Article 230  Amount of the contribution 
european political party,fail,to comply with the european political party obligations related to the use of contributions where,TITLE XI CONTRIBUTIONS TO EUROPEAN POLITICAL PARTIES,Article 230  Amount of the contribution 
european political party,give,the opportunity to present the european political party observations,TITLE XI CONTRIBUTIONS TO EUROPEAN POLITICAL PARTIES,Article 230  Amount of the contribution 
authorise officer responsible,verify,before making a payment that the european political party is still registered in the register referred to in article 7 of regulation (eu euratom) no 11412014,TITLE XI CONTRIBUTIONS TO EUROPEAN POLITICAL PARTIES,Article 230  Amount of the contribution 
european political party,register,still in the register,TITLE XI CONTRIBUTIONS TO EUROPEAN POLITICAL PARTIES,Article 230  Amount of the contribution 
authorise officer responsible,be,the subject of any of the penalties provided for in article 27 of that regulation between the date of the european political party application and the end of the financial year covered by the contribution,TITLE XI CONTRIBUTIONS TO EUROPEAN POLITICAL PARTIES,Article 230  Amount of the contribution 
european political party,register,where no longer in the register,TITLE XI CONTRIBUTIONS TO EUROPEAN POLITICAL PARTIES,Article 230  Amount of the contribution 
authorise officer responsible,suspend,reduce or terminate the contribution and recover amounts unduly paid under the agreement referred to in article 225(8) of this regulation in proportion to the seriousness of the errors irregularities fraud or other breach of obligations related to the use of contribution,TITLE XI CONTRIBUTIONS TO EUROPEAN POLITICAL PARTIES,Article 230  Amount of the contribution 
european political party,give,the opportunity to present the european political party observations,TITLE XI CONTRIBUTIONS TO EUROPEAN POLITICAL PARTIES,Article 230  Amount of the contribution 
agreement,refer,to in article 225(8,TITLE XI CONTRIBUTIONS TO EUROPEAN POLITICAL PARTIES,Article 231  Control and penalties 
agreement,provide,expressly,TITLE XI CONTRIBUTIONS TO EUROPEAN POLITICAL PARTIES,Article 231  Control and penalties 
european parliament,exercise,the european parliament powers of control on documents and on the premises as well as for olaf and the court of auditors,TITLE XI CONTRIBUTIONS TO EUROPEAN POLITICAL PARTIES,Article 231  Control and penalties 
european parliament,exercise,olaf and the court of auditors respective competences and powers,TITLE XI CONTRIBUTIONS TO EUROPEAN POLITICAL PARTIES,Article 231  Control and penalties 
agreement,refer,to in article 129 over all european political parties that have received union funding olaf and the court of auditors contractors and subcontractors,TITLE XI CONTRIBUTIONS TO EUROPEAN POLITICAL PARTIES,Article 231  Control and penalties 
administrative financial penalty effective proportionate dissuasive,impose,by the authorising officer responsible in accordance with articles 136 and 137 of this regulation and with article 27 of regulation (eu euratom,TITLE XI CONTRIBUTIONS TO EUROPEAN POLITICAL PARTIES,Article 231  Control and penalties 
penalty,refer,may also be imposed on european political parties which at the moment of the submission of the application for contribution or after having received the contribution made false declarations in supplying the information requested by the authorising officer responsible or failed to supply such information to in paragraph 2,TITLE XI CONTRIBUTIONS TO EUROPEAN POLITICAL PARTIES,Article 231  Control and penalties 
penalty,impose,also on european political parties which at the moment of the submission of the application for contribution or after having received the contribution made false declarations in supplying the information requested by the authorising officer responsible or failed to supply such information,TITLE XI CONTRIBUTIONS TO EUROPEAN POLITICAL PARTIES,Article 231  Control and penalties 
european political party,keep,all records,TITLE XI CONTRIBUTIONS TO EUROPEAN POLITICAL PARTIES,Article 232  Record keeping 
european political party,support,documents pertaining to the contribution for five years following the last payment related to the contribution,TITLE XI CONTRIBUTIONS TO EUROPEAN POLITICAL PARTIES,Article 232  Record keeping 
record relate audits appeal litigation,retain,until the end of such audits appeals litigation settlement of claims or investigations,TITLE XI CONTRIBUTIONS TO EUROPEAN POLITICAL PARTIES,Article 232  Record keeping 
independent external audit body expert,refer,to in article 23 of regulation (eu euratom,TITLE XI CONTRIBUTIONS TO EUROPEAN POLITICAL PARTIES,Article 233  Selection of external audit bodies or experts 
term independent external audit body expert contract,be,no longer than five years,TITLE XI CONTRIBUTIONS TO EUROPEAN POLITICAL PARTIES,Article 233  Selection of external audit bodies or experts 
independent external audit body expert,deem,to have conflicting interests which may negatively affect the performance of the audit after two consecutive terms,TITLE XI CONTRIBUTIONS TO EUROPEAN POLITICAL PARTIES,Article 233  Selection of external audit bodies or experts 
union trust fund,establish,where agreements with other donors have secured contributions from other sources than the budget only,TITLE XII OTHER BUDGET IMPLEMENTATION INSTRUMENTS,Article 234  Union trust funds for external actions 
union trust fund,secure,contributions from other sources than the budget where,TITLE XII OTHER BUDGET IMPLEMENTATION INSTRUMENTS,Article 234  Union trust funds for external actions 
establishment union trust fund thematic action,be,subject to the approval of the european parliament and of the council,TITLE XII OTHER BUDGET IMPLEMENTATION INSTRUMENTS,Article 234  Union trust funds for external actions 
draft decision,include,a description of the objectives of the union trust,TITLE XII OTHER BUDGET IMPLEMENTATION INSTRUMENTS,Article 234  Union trust funds for external actions 
draft decision,fund,the justification for the union trust fund establishment in accordance with paragraph 3,TITLE XII OTHER BUDGET IMPLEMENTATION INSTRUMENTS,Article 234  Union trust funds for external actions 
draft decision,include,a draft constitutive agreement to be concluded with other donors also,TITLE XII OTHER BUDGET IMPLEMENTATION INSTRUMENTS,Article 234  Union trust funds for external actions 
union contribution union trust fund,provide,under which,TITLE XII OTHER BUDGET IMPLEMENTATION INSTRUMENTS,Article 234  Union trust funds for external actions 
union contribution union trust fund,provide,under which,TITLE XII OTHER BUDGET IMPLEMENTATION INSTRUMENTS,Article 234  Union trust funds for external actions 
competent committee provide basic act union contribution union trust fund provide,invite,to pronounce the competent committee,TITLE XII OTHER BUDGET IMPLEMENTATION INSTRUMENTS,Article 234  Union trust funds for external actions 
competent committee provide basic act union contribution union trust fund provide,provide,where for in the basic act under which the union contribution to the union trust fund is provided on the aspects which have already been submitted to the european parliament and to the council or for approval under the third fourth and fifth subpara­graphs of paragraph 1 respectively,TITLE XII OTHER BUDGET IMPLEMENTATION INSTRUMENTS,Article 234  Union trust funds for external actions 
union contribution union trust fund,provide,under which on the aspects which have already been submitted to the european parliament and to the council or for approval under the third fourth and fifth subpara­graphs of paragraph 1 respectively,TITLE XII OTHER BUDGET IMPLEMENTATION INSTRUMENTS,Article 234  Union trust funds for external actions 
union trust fund,establish,only,TITLE XII OTHER BUDGET IMPLEMENTATION INSTRUMENTS,Article 234  Union trust funds for external actions 
union trust fund,implement,subject to the following conditions,TITLE XII OTHER BUDGET IMPLEMENTATION INSTRUMENTS,Article 234  Union trust funds for external actions 
objective union trust fund particular reason union trust fund scale potential effect,be,added value of the union intervention,TITLE XII OTHER BUDGET IMPLEMENTATION INSTRUMENTS,Article 234  Union trust funds for external actions 
objective union trust fund particular reason union trust fund scale potential effect,achieve,union trust funds shall only be established and implemented subject to the following conditions better at union level than at national level,TITLE XII OTHER BUDGET IMPLEMENTATION INSTRUMENTS,Article 234  Union trust funds for external actions 
use exist financing instrument,be,sufficient to achieve policy objectives of the union union trust funds,TITLE XII OTHER BUDGET IMPLEMENTATION INSTRUMENTS,Article 234  Union trust funds for external actions 
use exist financing instrument,bring,clear political visibility for the union and managerial advantages as well as better control by the union of risks and disbursements of the union and other donors,TITLE XII OTHER BUDGET IMPLEMENTATION INSTRUMENTS,Article 234  Union trust funds for external actions 
objective union trust fund particular reason union trust fund scale potential effect,duplicate,other existing funding channels or similar instruments without providing any additionality,TITLE XII OTHER BUDGET IMPLEMENTATION INSTRUMENTS,Article 234  Union trust funds for external actions 
objective union trust fund,align,with the objectives of the union instrument or budgetary item from which the objectives of union trust funds are funded,TITLE XII OTHER BUDGET IMPLEMENTATION INSTRUMENTS,Article 234  Union trust funds for external actions 
objective union trust fund,fund,from which,TITLE XII OTHER BUDGET IMPLEMENTATION INSTRUMENTS,Article 234  Union trust funds for external actions 
rule composition board chair commission,lay,in the constitutive agreement of the union trust fund,TITLE XII OTHER BUDGET IMPLEMENTATION INSTRUMENTS,Article 234  Union trust funds for external actions 
rule composition board,include,the requirement that a vote in favour by the commission is needed for the final adoption of the decision on the use of the funds,TITLE XII OTHER BUDGET IMPLEMENTATION INSTRUMENTS,Article 234  Union trust funds for external actions 
union trust fund,establish,for a limited duration,TITLE XII OTHER BUDGET IMPLEMENTATION INSTRUMENTS,Article 234  Union trust funds for external actions 
union trust fund,determine,in union trust funds,TITLE XII OTHER BUDGET IMPLEMENTATION INSTRUMENTS,Article 234  Union trust funds for external actions 
limited duration determine constitutive agreement,extend,by a decision of the commission subject to the procedure set out in paragraph 1 upon request of the board of the union trust fund concerned and upon presentation by the commission of a report justifying the extension confirming in particular that the conditions set out in paragraph 3 are complied with,TITLE XII OTHER BUDGET IMPLEMENTATION INSTRUMENTS,Article 234  Union trust funds for external actions 
condition set paragraph 3,comply,with,TITLE XII OTHER BUDGET IMPLEMENTATION INSTRUMENTS,Article 234  Union trust funds for external actions 
european parliament,andor,the council may request the commission to discontinue appropriations for a union trust fund or to revise the constitutive agreement of the union trust fund with a view to the liquidation of a union trust fund where appropriate in particular on the basis of the information submitted in the working document referred to in article 41(6),TITLE XII OTHER BUDGET IMPLEMENTATION INSTRUMENTS,Article 234  Union trust funds for external actions 
remain fund,return,in such an event on a pro rata basis to the budget as general revenue and to the contributing member states and other donors,TITLE XII OTHER BUDGET IMPLEMENTATION INSTRUMENTS,Article 234  Union trust funds for external actions 
union trust fund,implement,proportionality nondiscrimination and equal treatment in accordance with the principles of sound financial management,TITLE XII OTHER BUDGET IMPLEMENTATION INSTRUMENTS,Article 235  Implementation of Union trust funds for external actions 
action finance union trust fund,implement,directly by the commission pursuant to point of the first subparagraph of article 62(1,TITLE XII OTHER BUDGET IMPLEMENTATION INSTRUMENTS,Article 235  Implementation of Union trust funds for external actions 
fund,pay,by financial actors of the commission within the meaning of chapter 4 of title,TITLE XII OTHER BUDGET IMPLEMENTATION INSTRUMENTS,Article 235  Implementation of Union trust funds for external actions 
accounting officer commission,serve,as the accounting officer of the union trust funds,TITLE XII OTHER BUDGET IMPLEMENTATION INSTRUMENTS,Article 235  Implementation of Union trust funds for external actions 
accounting officer commission accounting officer commission,be,responsible for laying down accounting procedures and chart of accounts common to all union trust funds,TITLE XII OTHER BUDGET IMPLEMENTATION INSTRUMENTS,Article 235  Implementation of Union trust funds for external actions 
commission internal auditor olaf court auditor,exercise,the same powers over union trust funds,TITLE XII OTHER BUDGET IMPLEMENTATION INSTRUMENTS,Article 235  Implementation of Union trust funds for external actions 
commission internal auditor olaf court auditor,do,in respect of other actions carried out by the commission,TITLE XII OTHER BUDGET IMPLEMENTATION INSTRUMENTS,Article 235  Implementation of Union trust funds for external actions 
contribution union donor,integrate,in the budget,TITLE XII OTHER BUDGET IMPLEMENTATION INSTRUMENTS,Article 235  Implementation of Union trust funds for external actions 
contribution union donor,lodge,in a specific bank account,TITLE XII OTHER BUDGET IMPLEMENTATION INSTRUMENTS,Article 235  Implementation of Union trust funds for external actions 
specific bank account,close,by the accounting officer of the commission,TITLE XII OTHER BUDGET IMPLEMENTATION INSTRUMENTS,Article 235  Implementation of Union trust funds for external actions 
transaction specific bank account year,account,properly for in the accounts of the union trust fund,TITLE XII OTHER BUDGET IMPLEMENTATION INSTRUMENTS,Article 235  Implementation of Union trust funds for external actions 
union contribution shall transfer specific bank account basis payment request duly substantiate disbursement forecast take account balance available specific bank account result need additional payment,transfer,to a specific bank account on the basis of payment requests that are duly substantiated with disbursement forecasts taking into account the balance available on a specific bank account and,TITLE XII OTHER BUDGET IMPLEMENTATION INSTRUMENTS,Article 235  Implementation of Union trust funds for external actions 
disbursement forecast,provide,on an annual or where appropriate on a semiannual basis,TITLE XII OTHER BUDGET IMPLEMENTATION INSTRUMENTS,Article 235  Implementation of Union trust funds for external actions 
contribution donor,take,into account,TITLE XII OTHER BUDGET IMPLEMENTATION INSTRUMENTS,Article 235  Implementation of Union trust funds for external actions 
contribution donor,cash,a specific bank account when,TITLE XII OTHER BUDGET IMPLEMENTATION INSTRUMENTS,Article 235  Implementation of Union trust funds for external actions 
interest accumulate specific bank account,invest,in the union trust fund except where otherwise provided in the constitutive agreement of the union trust fund,TITLE XII OTHER BUDGET IMPLEMENTATION INSTRUMENTS,Article 235  Implementation of Union trust funds for external actions 
contribution,refer,in which to in paragraph 4,TITLE XII OTHER BUDGET IMPLEMENTATION INSTRUMENTS,Article 235  Implementation of Union trust funds for external actions 
cost,cover,already by other budget lines,TITLE XII OTHER BUDGET IMPLEMENTATION INSTRUMENTS,Article 235  Implementation of Union trust funds for external actions 
management fee,assimilate,for the duration of the union trust fund to assigned revenue within the meaning of point(ii) of article 21(2,TITLE XII OTHER BUDGET IMPLEMENTATION INSTRUMENTS,Article 235  Implementation of Union trust funds for external actions 
l 193144     addition annual report refer article 252 financial reporting operation carry union trust fund,establish,by the authorising officer,TITLE XII OTHER BUDGET IMPLEMENTATION INSTRUMENTS,Article 235  Implementation of Union trust funds for external actions 
union trust fund,be,subject to an independent external audit,TITLE XII OTHER BUDGET IMPLEMENTATION INSTRUMENTS,Article 235  Implementation of Union trust funds for external actions 
follow condition,meet,where,TITLE XII OTHER BUDGET IMPLEMENTATION INSTRUMENTS,Article 236  Use of budget support 
countrys management public finance,be,where provided for in the relevant basic acts the commission may provide budget support to a third country where the following conditions are met,TITLE XII OTHER BUDGET IMPLEMENTATION INSTRUMENTS,Article 236  Use of budget support 
country,put,in place,TITLE XII OTHER BUDGET IMPLEMENTATION INSTRUMENTS,Article 236  Use of budget support 
country,put,in place,TITLE XII OTHER BUDGET IMPLEMENTATION INSTRUMENTS,Article 236  Use of budget support 
sufficiently credible relevant sectoral national policy country place,stabilityoriente,macroeconomic policies the third country has put in place sufficient and timely access to comprehensive and sound budgetary information,TITLE XII OTHER BUDGET IMPLEMENTATION INSTRUMENTS,Article 236  Use of budget support 
country,put,sufficient and timely access to comprehensive and sound budgetary information in place,TITLE XII OTHER BUDGET IMPLEMENTATION INSTRUMENTS,Article 236  Use of budget support 
payment union contribution,base,on the fulfilment of the conditions referred to in paragraph 1 including the improvement of the management of public finances,TITLE XII OTHER BUDGET IMPLEMENTATION INSTRUMENTS,Article 236  Use of budget support 
payment,be,conditional in addition also on the achievement of milestones measured by objective performance indicators reflecting results and reform progress over time in the respective sector,TITLE XII OTHER BUDGET IMPLEMENTATION INSTRUMENTS,Article 236  Use of budget support 
corresponding financing agreement,conclude,shall contain: an obligation for the third country to provide the commission with reliable and timely information which allows the commission to evaluate the fulfilment of the conditions referred to in paragraph 2 a right for the commission to suspend the financing agreement if the third country breaches an obligation relating to respect for human rights democratic principles and the rule of law and in serious cases of corruption appropriate provisions pursuant to which the third country is to commit to immediately reimburse all or part of the relevant operation funding in the event that the third country is established that the payment of the relevant union funds has been vitiated by serious irregularities attributable to the third country with the third country,TITLE XII OTHER BUDGET IMPLEMENTATION INSTRUMENTS,Article 236  Use of budget support 
